district_id,district_name,county_number,county,econ_disadv_pct,attendance_rate,chronic_absenteeism_rate,ccmr_rate,graduation_rate,student_count
060902,COOPER ISD,060,delta,68.4,94.4,14.4,61.1,100.0,902
060914,FANNINDEL ISD,060,delta,80.1,92.4,30.8,55.6,90.0,141
061802,NORTH TEXAS COLLEGIATE ACADEMY,061,denton,79.4,95.2,11.6,,,809
061804,LEADERSHIP PREP SCHOOL,061,denton,2.4,95.9,7.1,1.2,98.8,1390
061805,TRIVIUM ACADEMY,061,denton,3.5,96.1,5.3,0.0,,629
061806,TEXAS WORKS,061,denton,36.5,,,,,446
061901,DENTON ISD,061,denton,48.3,94.6,14.6,28.9,97.9,33228
061902,LEWISVILLE ISD,061,denton,36.3,95.4,9.7,13.1,96.8,47776
061903,PILOT POINT ISD,061,denton,44.5,93.7,19.3,63.6,98.1,1616
061905,KRUM ISD,061,denton,39.2,95.2,10.0,17.0,94.8,2540
061906,PONDER ISD,061,denton,42.3,95.2,11.7,47.4,99.2,1718
061907,AUBREY ISD,061,denton,32.7,94.6,14.1,20.8,95.5,4477
061908,SANGER ISD,061,denton,43.9,94.9,13.3,21.6,95.7,2874
