county,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,population,median_income,poverty_rate,bachelors_or_higher_pct,private_schools_per_100k,private_enrollment_per_100k
parker,4,721,72.2,8.803499227725,9.986149584487535,151188.0,95721.0,7.912413853267034,30.880566008153025,2.645712622694923,476.88970024075985
polk,2,78,12.399999999999999,6.3479623824,6.290322580645162,50536.0,57315.0,16.369391334103256,13.18642211880646,3.9575747981636855,154.34541712838373
potter,4,611,72.9,8.301415795775,8.381344307270233,117905.0,47974.0,20.708042586864252,16.96768693891686,3.392561808235444,518.2138162079641
randall,5,419,61.9,6.936631956559999,6.768982229402262,141489.0,78038.0,9.433295086344382,32.709488518752885,3.5338436203521124,296.136095385507
rockwall,7,799,108.0,6.695568535028571,7.398148148148148,110631.0,121303.0,4.173165859398517,43.8688542794481,6.3273404380327385,722.2207157125941
rusk,1,96,21.0,4.5714285714,4.571428571428571,52755.0,61661.0,13.423717465896729,15.833356416719758,1.8955549237039144,181.97327267557577
scurry,1,45,6.0,7.5,7.5,16883.0,58932.0,11.822096622258108,18.558476881233002,5.923117929277972,266.54030681750874
smith,14,3115,334.0,7.734765365564286,9.326347305389222,234667.0,69053.0,12.6128296201567,27.37845123504276,5.965900616618442,1327.4128871976034
somervell,1,106,21.6,4.9074074074,4.907407407407407,9337.0,87899.0,7.281659388646289,28.597560975609753,10.71007818357074,1135.2682874584984
tarrant,85,14323,1710.5,8.085999379111765,8.373574978076586,2113854.0,78872.0,11.020606979690559,33.91045357754241,4.021091333649344,677.5775431983476
taylor,5,550,34.4,13.512517985619999,15.988372093023257,143029.0,61806.0,14.582206301630235,28.670735064696707,3.4957945591453483,384.53740150598827
titus,1,11,2.0,5.5,5.5,31301.0,57634.0,18.335164480062044,15.348980852378011,3.1947861090699976,35.142647199769975
tom green,7,588,99.1,7.507215185371429,5.933400605449042,119276.0,67215.0,11.73963580007749,24.64364247833398,5.868741406485798,492.97427814480704
travis,85,13738,1840.8,7.108204223035294,7.463059539330726,1289054.0,92731.0,11.281487165963014,53.790602106290585,6.593982874262831,1065.7427850190916
tyler,1,32,4.0,8.0,8.0,19962.0,50898.0,17.951175508823365,13.10693041914511,5.009518084360284,160.3045786995291
uvalde,3,169,30.3,5.316993464033334,5.577557755775578,24833.0,55000.0,24.12414080399917,19.088208704636443,12.08069906978617,680.5460475979543
val verde,2,225,17.9,12.5951711805,12.569832402234638,47693.0,57250.0,16.198982377219227,20.234339792699412,4.193487513890927,471.7673453127293
victoria,12,1968,150.7,14.434419571216667,13.059057730590578,91209.0,66308.0,16.642231200546163,19.19690680235672,13.156596388514291,2157.6818077163434
walker,2,447,56.3,5.02321814255,7.939609236234459,77182.0,47193.0,19.459326211996714,19.32128639450472,2.591277759062994,579.1505791505791
waller,2,70,14.0,4.325,5.0,57463.0,71643.0,13.027529874451671,24.87463336171823,3.4805004959713206,121.81751735899623
washington,4,337,34.5,9.50611591785,9.768115942028986,35807.0,70043.0,11.889925762499628,28.853068815871048,11.1710000837825,941.1567570586758
webb,9,1478,122.4,13.9833349203,12.07516339869281,267282.0,59984.0,21.38728980457506,20.583272437387894,3.3672301165061618,552.9740124662342
wharton,3,277,56.400000000000006,4.600641666633333,4.911347517730496,41614.0,59712.0,14.645342449029423,18.106648046745804,7.209112317969915,665.6413706925554
wichita,2,375,43.3,8.7458799549,8.660508083140877,129584.0,58862.0,15.754212800777353,23.866740140878814,1.5434004198049143,289.38757871342136
wilbarger,1,6,1.0,6.0,6.0,12795.0,50769.0,18.393442622950822,16.63794093990578,7.815552950371239,46.893317702227435
williamson,29,4013,371.9,9.833072948265517,10.790535090077979,617396.0,102851.0,6.340779341205434,46.28418147783632,4.697147373808706,649.9880141756669
wilson,1,49,4.0,12.25,12.25,50381.0,89708.0,10.290269334514273,25.393120751524346,1.9848752505905005,97.25888727893452
young,1,112,15.8,7.0886075949,7.0886075949367084,17903.0,65565.0,15.71623310235147,22.541445356510543,5.585656035301346,625.5934759537508
zavala,1,42,6.0,7.0,7.0,9700.0,49243.0,31.004774756072244,13.758158708347649,10.309278350515465,432.98969072164954
