county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k
haskell,5408,52786,15.038910505836576,20.161493817814787,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hays,245351,79990,12.925218677886738,40.363114507893066,11.0,1366.0,109.9,11.032782271727273,12.429481346678799,4.483372800599957,556.7533859654128
hemphill,3371,67798,6.1408789885611075,23.297966401414676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henderson,82627,59778,14.759629593143533,19.050796420811306,1.0,175.0,19.4,9.0206185567,9.02061855670103,1.2102581480629817,211.7951759110218
hidalgo,873167,49371,27.69962399748097,20.122965845954255,20.0,1574.0,177.9,8.473287664234999,8.847667228780214,2.290512582358243,180.26334023159373
hill,36138,60669,13.319106558543178,17.510072522159547,2.0,29.0,4.6,6.4423076923,6.304347826086957,5.534340583319497,80.24793845813271
hockley,21495,53283,15.0708024275118,17.187270860830033,1.0,10.0,1.6,6.25,6.25,4.6522447080716445,46.52244708071645
hood,62459,80013,8.870104163286499,31.651396352744253,1.0,1.0,3.9,0.2564102564,0.25641025641025644,1.6010502889895772,1.6010502889895772
hopkins,37008,63766,13.398576023311435,21.596055954146458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
houston,22107,51043,17.609603340292278,14.775094987130776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howard,34488,67243,14.500442086648983,13.81509924881447,2.0,87.0,14.4,5.972222222199999,6.041666666666666,5.799118533982835,252.26165622825332
hudspeth,3329,35163,25.441116126384898,10.347903657448706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hunt,101596,66885,12.242623216601816,21.331266581214415,1.0,223.0,21.4,10.420560748,10.420560747663552,0.9842907201070908,219.49683058388123
hutchinson,20595,62211,10.360713585571457,15.605825386264508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
irion,1561,54708,7.431133888532991,18.367346938775512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,8588,58861,14.499272390527848,15.545283341893512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jackson,15010,67176,11.960267585647678,13.033104682373994,1.0,20.0,5.0,4.0,4.0,6.662225183211192,133.24450366422386
jasper,33032,48818,22.83861671469741,12.238544178908134,1.0,71.0,6.0,11.833333333,11.833333333333334,3.0273674013078224,214.9430854928554
jeff davis,1992,38125,24.602767811378783,27.845777233782133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jefferson,254942,57294,18.193225117006637,19.90694172387221,9.0,1483.0,162.89999999999998,9.644817571888888,9.103744628606508,3.5302147155039187,581.7009358991457
jim hogg,4830,42292,29.002764193068252,12.751127511275111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jim wells,39060,46626,22.6226874643727,15.263030888030887,2.0,127.0,10.9,8.92397660815,11.65137614678899,5.1203277009728625,325.14080901177675
johnson,182690,77058,10.603706982467276,21.382193513794288,10.0,968.0,88.2,11.17869168296,10.975056689342404,5.473753352673929,529.8593245388363
jones,19758,59361,14.196118940455987,11.158124616119567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
karnes,14805,57798,21.000535045478866,16.275248864405143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaufman,149773,84075,9.785920326422525,23.768149561879856,3.0,328.0,45.6,5.8074494949333335,7.192982456140351,2.0030312539643327,218.99808376676702
kendall,45376,104196,5.093606183816631,48.51162201532713,4.0,918.0,162.9,6.9251298905750005,5.635359116022099,8.815232722143865,2023.095909732017
kenedy,116,45455,2.586206896551724,8.045977011494253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kent,635,68553,7.958477508650519,27.876106194690266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kerr,52810,66713,12.538478128737527,29.77236110389273,3.0,220.0,26.3,8.285020804433334,8.365019011406844,5.680742283658398,416.58776746828255
kimble,4316,62386,12.42060691601976,27.856468366383382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
king,216,59375,27.77777777777778,30.625000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kinney,3157,52386,15.62287270251872,13.288643533123029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kleberg,30860,52487,30.566258428512455,22.95986524946274,2.0,99.0,12.0,7.55,8.25,6.480881399870383,320.8036292935839
knox,3333,48750,11.426787386824852,14.155844155844155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lamar,50149,58246,15.960523388678787,20.89146266561376,2.0,162.0,16.3,11.36928104575,9.938650306748466,3.9881154160601406,323.0373487008714
lamb,13024,54519,17.44940220364148,12.875379939209727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lampasas,21829,73269,9.490333919156415,20.18514921991325,1.0,8.0,1.0,8.0,8.0,4.581061890146136,36.64849512116909
la salle,6965,62798,28.03131245836109,5.420477358911444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lavaca,20379,58530,10.23847856711612,19.556093049726115,3.0,573.0,58.3,9.464906783799998,9.828473413379074,14.721036360959813,2811.717944943324
lee,17543,66448,13.16464552238806,16.58997335916687,2.0,209.0,19.1,10.6799419901,10.94240837696335,11.400558627372742,1191.3583765604515
leon,15928,57363,14.369556985990156,15.010250467956146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
liberty,93523,59605,17.7203836158322,10.560421804575219,1.0,22.0,6.0,3.6666666667,3.6666666666666665,1.069255691113416,23.52362520449515
limestone,22222,53102,21.49532710280374,16.857768616335996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lipscomb,3038,71625,13.789615643964936,24.732905982905983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
live oak,11374,55949,21.041456016177957,13.56219025746404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llano,21637,64241,11.312111438320946,31.809401159047006,1.0,60.0,10.4,5.7692307692,5.769230769230769,4.621712806766188,277.3027684059712
loving,96,-666666666,5.208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lubbock,311509,61911,17.215924864288127,32.62386809028247,15.0,2505.0,304.5,8.0695530601,8.226600985221674,4.815270184810069,804.1501208632817
lynn,5619,52996,18.810986628117092,24.56379498364231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mcculloch,7638,53214,13.464630225080384,18.551532033426184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mclennan,261090,59781,17.88032211768458,26.941239349828656,11.0,2213.0,264.0,8.546903161254546,8.382575757575758,4.213106591596767,847.6004442912405
mcmullen,670,60313,14.925373134328357,15.74074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madison,13556,65768,12.473328591749643,14.039806347498654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marion,9668,48040,15.703084161003659,16.258813770219827,2.0,36.0,9.4,4.76041666665,3.829787234042553,20.68680182043856,372.36243276789406
martin,5228,70217,16.88588007736944,16.89301093077178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mason,3959,77583,4.936708860759493,37.99205489346335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matagorda,36251,56412,21.76388501255931,20.850849167647553,1.0,47.0,10.4,4.5192307692,4.519230769230769,2.7585445918733273,129.65159581804642
maverick,57806,48497,23.435380066098453,15.822460602042968,3.0,286.0,22.0,11.128205128333335,13.0,5.189772687956268,494.7583295851642
