county,population,median_income,poverty_rate,bachelors_or_higher_pct
orange,84761,71910,11.92052190298997,17.1633232766986
palo pinto,28569,65242,15.83362831858407,18.062760002054336
panola,22540,58205,13.971856559237402,16.152236463510334
parker,151188,95721,7.912413853267034,30.880566008153025
parmer,9809,65575,9.513023782559456,18.45018450184502
pecos,15114,59325,22.965230358684565,11.471903558234493
polk,50536,57315,16.369391334103256,13.18642211880646
potter,117905,47974,20.708042586864252,16.96768693891686
presidio,6168,29012,39.99675482719455,21.217712177121772
rains,12257,60291,10.993344836085777,20.4983135676205
randall,141489,78038,9.433295086344382,32.709488518752885
reagan,3308,70319,7.186358099878197,11.983887210473315
real,2830,46842,24.527574238333976,20.945602440264363
red river,11627,44583,20.211742059672762,13.968591333097176
reeves,14022,57487,20.96611615104288,9.841269841269842
refugio,6718,54304,16.297878834121775,11.205613438230916
roberts,764,62667,14.736842105263156,19.21641791044776
robertson,16912,59410,14.248937316649704,18.38006230529595
rockwall,110631,121303,4.173165859398517,43.8688542794481
runnels,9858,55424,11.8580375782881,18.3187134502924
rusk,52755,61661,13.423717465896729,15.833356416719758
sabine,9980,47061,17.309644670050762,17.88201287610038
san augustine,7920,45888,27.284578281840698,12.775782452539763
san jacinto,27666,54839,17.37739484494856,15.998773257002657
san patricio,68942,63842,15.759941089837998,17.60304659498208
san saba,5779,54087,14.280170741171904,19.436345966958214
schleicher,2474,53774,14.476885644768856,13.595166163141995
scurry,16883,58932,11.822096622258108,18.558476881233002
shackelford,3134,60924,11.301259283177268,32.402234636871505
shelby,24157,49231,23.26406276080788,13.833668847508807
sherman,2414,66169,8.319327731092436,21.785940468651045
smith,234667,69053,12.6128296201567,27.37845123504276
somervell,9337,87899,7.281659388646289,28.597560975609753
starr,65716,35979,33.4602394841879,12.732902235861465
stephens,9260,44712,16.659096070860777,18.40944881889764
sterling,1392,63558,1.7699115044247788,23.414634146341466
stonewall,1331,66591,7.059736229635376,15.084525357607282
sutton,3345,56778,16.56644618159952,15.341772151898732
swisher,6989,40290,29.516179704681118,19.29785824685361
tarrant,2113854,78872,11.020606979690559,33.91045357754241
taylor,143029,61806,14.582206301630235,28.670735064696707
terrell,862,52813,6.380510440835267,29.526462395543174
terry,11816,42694,22.353261362605462,11.025013594344752
throckmorton,1439,55221,13.968033356497568,20.206766917293233
titus,31301,57634,18.335164480062044,15.348980852378011
tom green,119276,67215,11.73963580007749,24.64364247833398
travis,1289054,92731,11.281487165963014,53.790602106290585
trinity,13735,51165,14.238165680473372,14.841166449544044
tyler,19962,50898,17.951175508823365,13.10693041914511
upshur,41261,60456,14.558914250462676,17.025641025641026
upton,3284,55284,20.335299596398634,9.658314350797266
uvalde,24833,55000,24.12414080399917,19.088208704636443
val verde,47693,57250,16.198982377219227,20.234339792699412
van zandt,60053,62334,13.14518997848661,17.07784431137725
