school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
HOLY TRINITY UMC DAY SCHOOL/DAYCARE,TX,harris,Houston,77015,6,1.0,6.0,2,1
CRANBROOK LEARNING CONNECTION,TX,harris,Houston,77090,9,1.4,6.4285714286,3,1
APPLE TREE SCHOOL,TX,harris,Houston,77090,10,1.0,10.0,2,1
GOUDEAU ACCELERATED PREPARATORY ACADEMY,TX,harris,Houston,77089,25,4.0,6.25,2,1
GREYSTONE HOUSE MONTESSORI,TX,montgomery,The Woodlands,77380,8,2.0,4.0,3,1
THE HARRIS SCHOOL,TX,harris,Houston,77074,25,6.0,4.1666666667,3,1
ETERNITY CHRISTIAN SCHOOL,TX,harris,Houston,77038,39,4.0,9.75,2,1
FIVE STAR MONTESSORI SCHOOL,TX,harris,Houston,77077,6,3.0,2.0,3,1
KING'S ACADEMY,TX,harris,Houston,77083,54,11.3,4.7787610619,2,3
ST ELIZABETH ANN SETON SCHOOL,TX,harris,Houston,77084,155,16.6,9.3373493976,1,1
MONTESSORI PRESCHOOL AT COPPERFIELD,TX,harris,Houston,77095,23,12.0,1.9166666667,3,1
WOODLANDS CHRISTIAN ACADEMY,TX,montgomery,The Woodlands,77384,673,74.0,9.0945945946,2,3
MONTESSORI SCHOOL OF DOWNTOWN,TX,brazoria,Pearland,77581,18,2.0,9.0,3,1
SPRING WOODS CHRISTIAN ACADEMY,TX,harris,Houston,77273,2,1.0,2.0,2,1
MESSIAH LUTHERAN LAMBS EARLY CHILDHOOD SCHOOL,TX,collin,Plano,75075,11,1.0,11.0,2,1
ST PAUL LUTHERAN SCHOOL,TX,wilbarger,Vernon,76384,6,1.0,6.0,2,1
ARMAND BAYOU MONTESSORI,TX,harris,Houston,77059,34,6.6,5.1515151515,3,1
GOOD SHEPHERD EPISCOPAL SCHOOL,TX,harris,Kingwood,77339,30,2.0,15.0,2,1
ST MARYS EPISCOPAL DAY SCHOOL,TX,austin,Bellville,77418,12,1.1,10.909090909,2,1
FAITH CHRISTIAN ACADEMY,TX,harris,Pasadena,77504,124,9.3,13.333333333,2,3
ST PAULS CHRISTIAN DAY SCHOOL,TX,washington,Brenham,77833,134,11.8,11.355932203,2,1
CROSS LUTHERAN SCHOOL,TX,comal,New Braunfels,78130,181,11.4,15.877192982,2,1
