county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
cooke,41860,66374,13.32863016031333,23.2700658355512,2.0,281.0,31.6,8.7908748502,8.89240506329114,4.777830864787386,671.2852365026279,6775.0,8.0,48.528088560885614,94.74271586715868,13.925579335793358,21.762695783132532,99.2792921686747
coryell,82927,63281,10.612318189980249,17.30317778413971,1.0,7.0,1.1,6.3636363636,6.363636363636363,1.205879870247326,8.441159091731281,11174.0,5.0,55.462976552711645,93.47155002684805,19.54777161267228,35.462018972615,91.18657597995345
cottle,1647,47625,24.10443230115361,18.322698268003645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1.0,68.0,94.9,11.2,83.3,100.0
crane,4636,71364,3.8103677447939743,15.653075328265375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.0,1.0,54.7,93.8,17.4,3.7,97.5
crockett,2949,64103,9.314404432132964,15.61433447098976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1.0,64.1,95.4,12.3,14.700000000000001,100.0
crosby,5157,50268,23.575949367088608,14.0345736888368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,3.0,82.26197975253093,93.2748031496063,22.603824521934758,15.290663667041619,94.34049493813274
culberson,2181,35924,22.1606648199446,10.485781990521328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.0,1.0,78.5,90.5,40.8,25.0,100.0
dallam,7165,71969,8.562865705722848,14.30490261920752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048.0,2.0,70.32890625,94.287109375,13.414892578125,34.44716796875,98.306884765625
dallas,2604053,70732,13.982521556656131,33.883096896348306,149.0,28733.0,3606.4,8.664596478733555,7.967224933451641,5.72184974729777,1103.395361000717,484359.0,44.0,74.41209103165214,93.45591947295291,19.449684841202497,27.731179712744236,91.12489123810813
dawson,12342,45268,24.78277295051001,13.498026232013244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2105.0,4.0,67.93847980997624,92.68099762470308,25.18669833729216,12.38289786223278,95.73515439429929
deaf smith,18585,51942,15.84239575933111,11.831532280410086,1.0,59.0,13.1,4.5038167939,4.5038167938931295,5.380683346785042,317.46031746031747,4097.0,2.0,79.5592140590676,92.70334391017818,22.044081034903588,12.6,94.0
delta,5278,68491,14.11313518696069,21.484692495258734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043.0,2.0,69.9816874400767,94.12962607861938,16.61706615532119,60.35647171620326,98.64813039309684
denton,914870,104180,7.416557225653711,47.86627476908373,34.0,5963.0,634.6,8.453368824211765,9.396470217459816,3.716375004098943,651.786592630647,147313.0,15.0,36.569726364950824,94.99864843702123,11.940428414824297,23.271347683796844,96.90849211642795
dewitt,19826,61100,16.53442109968708,14.063396442914517,1.0,69.0,8.6,8.023255814,8.023255813953488,5.043881771411278,348.0278422273782,4262.0,6.0,56.39561238854998,94.64645706241201,15.060980760206474,36.06093077825577,61.70204846365226
dickens,1570,46638,12.27364185110664,20.18739352640545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,2.0,60.71714285714285,94.82,10.94857142857143,9.01142857142857,68.25714285714285
dimmit,8672,27374,43.5687558465856,14.586070959264129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,1.0,76.5,89.7,34.6,45.9,83.7
donley,3298,51711,11.31053166271588,13.503480278422275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,2.0,54.84412955465587,94.5012145748988,13.726720647773279,34.70485829959514,97.64595141700404
duval,9960,50697,21.579116293998077,7.821316614420063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2344.0,4.0,87.70401023890786,91.18306313993173,29.779479522184303,49.49267764298093,92.31572790294628
eastland,17812,52902,16.191602602010644,22.85737785820036,1.0,9.0,3.1,2.9032258065,2.903225806451613,5.6141926790927466,50.52773411183472,2508.0,5.0,58.05275119617225,94.40582137161086,16.185446570972886,19.972009569377988,98.48022328548645
ector,162300,70566,15.783595592547762,16.602714857449357,5.0,433.0,36.1,10.4319444446,11.994459833795013,3.080714725816389,266.7898952556993,35188.0,2.0,72.27224622030236,92.24168466522679,25.901187904967603,37.559935205183585,88.22948164146868
edwards,1380,40809,23.40267459138187,19.024970273483948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,2.0,70.38853211009173,94.40206422018349,14.176834862385322,3.9708715596330273,100.0
ellis,195509,93248,8.195068481818323,27.869294951692165,5.0,514.0,59.8,7.847683890420001,8.595317725752508,2.5574270238198755,262.9034980486832,45543.0,11.0,53.14626397031377,94.63301275717455,13.872298706716728,21.14700612607865,96.75555189601037
el paso,863832,55417,19.50623152662989,25.01265945778281,32.0,3994.0,428.4,9.50415933838125,9.323062558356677,3.704424008371998,462.35842154493,160002.0,16.0,74.42320845989424,92.97733528330895,20.898900013749827,28.172022991693243,89.48803083206231
erath,42788,59654,16.54137203820866,32.36157385372045,2.0,43.0,10.9,3.4568965517,3.944954128440367,4.674207721791157,100.49546601850986,13861.0,9.0,59.263581271192564,91.39511579251136,29.98945242046028,22.21354303189166,76.72627785058977
falls,17013,45172,15.849953770968169,13.476949590693666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.0,4.0,79.00390658174096,94.24114649681528,17.050743099787685,21.114207650273226,97.9771402550091
